Timestamp,Disease,method,Variant,formula_display,formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,Config_Used
2026-06-21 11:58:32,psr,m3,gp,mchc + hgb,"add(mchc, hgb)",0.561,0.025,0.0239,0.5938,0.0459,0.1029,0.0313,0.0243,0.0192,medium
2026-06-21 11:58:32,psr,m3,gp,log(log(rdw)) + ((sqrt(neut_pct) / (((mchc / mono_pct) / mono_pct) / mono_pct)) / ((mchc / mono_pct) / mono_pct)),"add(log(log(rdw)), div(div(sqrt(neut_pct), div(div(div(mchc, mono_pct), mono_pct), mono_pct)), div(div(mchc, mono_pct), mono_pct)))",0.5386,0.0216,0.0206,0.8281,0.0402,0.0937,0.0206,0.0237,0.0214,large
2026-06-21 11:58:32,psr,m3,gp,sqrt((log(log(log(mchc))) * (sqrt(hct) + log(mch)))),"sqrt(mul(log(log(log(mchc))), add(sqrt(hct), log(mch))))",0.5853,0.0298,0.0207,0.8281,0.0404,0.0942,0.0262,0.0247,0.022,small
2026-06-21 11:58:32,psr,m3,gp,mch - (((log((log(mch) + neut_pct)) + (mchc + hgb)) * log(mch)) * log(0.141)),"sub(mch, mul(mul(add(log(add(log(mch), neut_pct)), add(mchc, hgb)), log(mch)), log(0.141)))",0.5212,0.0199,0.0217,0.4219,0.0413,0.0901,0.0191,0.0225,0.023,medium
2026-06-21 11:58:32,psr,m3,gp,log(log(sqrt(mchc))) - (mchc * (-(log(rdw) - (((((log(log(rdw)) + (sqrt(neut_pct) / (log(log(hgb)) + (log(sqrt(mchc)) / (mchc / mono_pct))))) + (sqrt(neut_pct) / (log(log(sqrt(mchc))) + ((mch - baso_pct) / (mchc / mono_pct))))) + ((mch - baso_pct) + (mchc + hgb))) * (-sqrt(mchc))) * sqrt(hct))))),"sub(log(log(sqrt(mchc))), mul(mchc, neg(sub(log(rdw), mul(mul(add(add(add(log(log(rdw)), div(sqrt(neut_pct), add(log(log(hgb)), div(log(sqrt(mchc)), div(mchc, mono_pct))))), div(sqrt(neut_pct), add(log(log(sqrt(mchc))), div(sub(mch, baso_pct), div(mchc, mono_pct))))), add(sub(mch, baso_pct), add(mchc, hgb))), neg(sqrt(mchc))), sqrt(hct))))))",0.5764,0.0258,0.021,0.7656,0.0408,0.0945,0.0312,0.0273,0.0211,large
2026-06-21 12:15:51,psr,m3,gp,neut_pct + rdw,"add(neut_pct, rdw)",0.6644,0.0382,0.0294,0.7969,0.0568,0.1283,0.0419,0.0329,0.0295,small
2026-06-21 12:15:51,psr,m3,gp,mchc + hgb,"add(mchc, hgb)",0.561,0.025,0.0239,0.5938,0.0459,0.1029,0.0313,0.0243,0.0192,medium
2026-06-21 12:15:51,psr,m3,gp,sqrt(log(mcv)) * (log(log(log(mchc))) * log((log(mcv) + (log(mcv) + hct)))),"mul(sqrt(log(mcv)), mul(log(log(log(mchc))), log(add(log(mcv), add(log(mcv), hct)))))",0.5835,0.0313,0.0205,0.8281,0.04,0.0933,0.0276,0.0252,0.0223,large
2026-06-21 12:15:51,psr,m3,gp,sqrt((log(log(log(mchc))) * (sqrt(hct) + log(mch)))),"sqrt(mul(log(log(log(mchc))), add(sqrt(hct), log(mch))))",0.5853,0.0298,0.0207,0.8281,0.0404,0.0942,0.0262,0.0247,0.022,small
2026-06-21 12:15:51,psr,m3,gp,mchc + hgb,"add(mchc, hgb)",0.561,0.025,0.0239,0.5938,0.0459,0.1029,0.0313,0.0243,0.0192,medium
2026-06-21 12:15:51,psr,m3,gp,mchc + hgb,"add(mchc, hgb)",0.561,0.025,0.0239,0.5938,0.0459,0.1029,0.0313,0.0243,0.0192,large
2026-06-21 12:15:51,psr,m3,gp,sqrt((sqrt((log(log(log(mchc))) * log((log(mchc) + log(mch))))) * log(log((sqrt(hct) + log(mch)))))),"sqrt(mul(sqrt(mul(log(log(log(mchc))), log(add(log(mchc), log(mch))))), log(log(add(sqrt(hct), log(mch))))))",0.5807,0.0285,0.0217,0.7812,0.0422,0.0977,0.0287,0.0271,0.0224,small
2026-06-21 12:15:51,psr,m3,gp,mchc + hgb,"add(mchc, hgb)",0.561,0.025,0.0239,0.5938,0.0459,0.1029,0.0313,0.0243,0.0192,medium
2026-06-21 12:15:51,psr,m3,gp,log(log(rdw)) + ((sqrt(neut_pct) / (((mchc / mono_pct) / mono_pct) / mono_pct)) / ((mchc / mono_pct) / mono_pct)),"add(log(log(rdw)), div(div(sqrt(neut_pct), div(div(div(mchc, mono_pct), mono_pct), mono_pct)), div(div(mchc, mono_pct), mono_pct)))",0.5386,0.0216,0.0206,0.8281,0.0402,0.0937,0.0206,0.0237,0.0214,large
2026-06-21 12:15:51,psr,m3,gp,sqrt((log(log(log(mchc))) * (sqrt(hct) + log(mch)))),"sqrt(mul(log(log(log(mchc))), add(sqrt(hct), log(mch))))",0.5853,0.0298,0.0207,0.8281,0.0404,0.0942,0.0262,0.0247,0.022,small
2026-06-21 12:15:51,psr,m3,gp,mch - (((log((log(mch) + neut_pct)) + (mchc + hgb)) * log(mch)) * log(0.141)),"sub(mch, mul(mul(add(log(add(log(mch), neut_pct)), add(mchc, hgb)), log(mch)), log(0.141)))",0.5212,0.0199,0.0217,0.4219,0.0413,0.0901,0.0191,0.0225,0.023,medium
2026-06-21 12:15:51,psr,m3,gp,log(log(sqrt(mchc))) - (mchc * (-(log(rdw) - (((((log(log(rdw)) + (sqrt(neut_pct) / (log(log(hgb)) + (log(sqrt(mchc)) / (mchc / mono_pct))))) + (sqrt(neut_pct) / (log(log(sqrt(mchc))) + ((mch - baso_pct) / (mchc / mono_pct))))) + ((mch - baso_pct) + (mchc + hgb))) * (-sqrt(mchc))) * sqrt(hct))))),"sub(log(log(sqrt(mchc))), mul(mchc, neg(sub(log(rdw), mul(mul(add(add(add(log(log(rdw)), div(sqrt(neut_pct), add(log(log(hgb)), div(log(sqrt(mchc)), div(mchc, mono_pct))))), div(sqrt(neut_pct), add(log(log(sqrt(mchc))), div(sub(mch, baso_pct), div(mchc, mono_pct))))), add(sub(mch, baso_pct), add(mchc, hgb))), neg(sqrt(mchc))), sqrt(hct))))))",0.5764,0.0258,0.021,0.7656,0.0408,0.0945,0.0312,0.0273,0.0211,large
2026-06-21 12:39:31,psr,m3,gp,neut_pct + rdw,"add(neut_pct, rdw)",0.6644,0.0382,0.0294,0.7969,0.0568,0.1283,0.0419,0.0329,0.0295,small
2026-06-21 12:39:31,psr,m3,gp,mchc + hgb,"add(mchc, hgb)",0.561,0.025,0.0239,0.5938,0.0459,0.1029,0.0313,0.0243,0.0192,medium
2026-06-21 12:39:31,psr,m3,gp,sqrt(log(mcv)) * (log(log(log(mchc))) * log((log(mcv) + (log(mcv) + hct)))),"mul(sqrt(log(mcv)), mul(log(log(log(mchc))), log(add(log(mcv), add(log(mcv), hct)))))",0.5835,0.0313,0.0205,0.8281,0.04,0.0933,0.0276,0.0252,0.0223,large
2026-06-21 12:39:31,psr,m3,gp,sqrt((log(log(log(mchc))) * (sqrt(hct) + log(mch)))),"sqrt(mul(log(log(log(mchc))), add(sqrt(hct), log(mch))))",0.5853,0.0298,0.0207,0.8281,0.0404,0.0942,0.0262,0.0247,0.022,small
2026-06-21 12:39:31,psr,m3,gp,mchc + hgb,"add(mchc, hgb)",0.561,0.025,0.0239,0.5938,0.0459,0.1029,0.0313,0.0243,0.0192,medium
2026-06-21 12:39:31,psr,m3,gp,mchc + hgb,"add(mchc, hgb)",0.561,0.025,0.0239,0.5938,0.0459,0.1029,0.0313,0.0243,0.0192,large
2026-06-21 12:39:31,psr,m3,gp,sqrt((sqrt((log(log(log(mchc))) * log((log(mchc) + log(mch))))) * log(log((sqrt(hct) + log(mch)))))),"sqrt(mul(sqrt(mul(log(log(log(mchc))), log(add(log(mchc), log(mch))))), log(log(add(sqrt(hct), log(mch))))))",0.5807,0.0285,0.0217,0.7812,0.0422,0.0977,0.0287,0.0271,0.0224,small
2026-06-21 12:39:31,psr,m3,gp,mchc + hgb,"add(mchc, hgb)",0.561,0.025,0.0239,0.5938,0.0459,0.1029,0.0313,0.0243,0.0192,medium
2026-06-21 12:39:31,psr,m3,gp,log(log(rdw)) + ((sqrt(neut_pct) / (((mchc / mono_pct) / mono_pct) / mono_pct)) / ((mchc / mono_pct) / mono_pct)),"add(log(log(rdw)), div(div(sqrt(neut_pct), div(div(div(mchc, mono_pct), mono_pct), mono_pct)), div(div(mchc, mono_pct), mono_pct)))",0.5386,0.0216,0.0206,0.8281,0.0402,0.0937,0.0206,0.0237,0.0214,large
2026-06-21 12:39:31,psr,m3,gp,sqrt((log(log(log(mchc))) * (sqrt(hct) + log(mch)))),"sqrt(mul(log(log(log(mchc))), add(sqrt(hct), log(mch))))",0.5853,0.0298,0.0207,0.8281,0.0404,0.0942,0.0262,0.0247,0.022,small
2026-06-21 12:39:31,psr,m3,gp,mch - (((log((log(mch) + neut_pct)) + (mchc + hgb)) * log(mch)) * log(0.141)),"sub(mch, mul(mul(add(log(add(log(mch), neut_pct)), add(mchc, hgb)), log(mch)), log(0.141)))",0.5212,0.0199,0.0217,0.4219,0.0413,0.0901,0.0191,0.0225,0.023,medium
2026-06-21 12:39:31,psr,m3,gp,log(log(sqrt(mchc))) - (mchc * (-(log(rdw) - (((((log(log(rdw)) + (sqrt(neut_pct) / (log(log(hgb)) + (log(sqrt(mchc)) / (mchc / mono_pct))))) + (sqrt(neut_pct) / (log(log(sqrt(mchc))) + ((mch - baso_pct) / (mchc / mono_pct))))) + ((mch - baso_pct) + (mchc + hgb))) * (-sqrt(mchc))) * sqrt(hct))))),"sub(log(log(sqrt(mchc))), mul(mchc, neg(sub(log(rdw), mul(mul(add(add(add(log(log(rdw)), div(sqrt(neut_pct), add(log(log(hgb)), div(log(sqrt(mchc)), div(mchc, mono_pct))))), div(sqrt(neut_pct), add(log(log(sqrt(mchc))), div(sub(mch, baso_pct), div(mchc, mono_pct))))), add(sub(mch, baso_pct), add(mchc, hgb))), neg(sqrt(mchc))), sqrt(hct))))))",0.5764,0.0258,0.021,0.7656,0.0408,0.0945,0.0312,0.0273,0.0211,large
